Newspaper,Decade,Total_Pages,Total_Faces,Pages_With_Faces,Percentage_Pages_With_Faces
GDL,1790s,20,0,0,0.0
GDL,1800s,36,1,1,2.7777777777777777
GDL,1810s,26,0,0,0.0
GDL,1820s,32,0,0,0.0
GDL,1830s,36,1,1,2.7777777777777777
GDL,1840s,24,0,0,0.0
GDL,1850s,24,0,0,0.0
GDL,1860s,24,0,0,0.0
GDL,1870s,24,0,0,0.0
GDL,1880s,24,0,0,0.0
GDL,1890s,26,0,0,0.0
GDL,1900s,28,0,0,0.0
GDL,1910s,30,4,4,13.333333333333334
GDL,1920s,28,3,3,10.714285714285714
GDL,1930s,28,3,3,10.714285714285714
GDL,1940s,38,6,4,10.526315789473683
GDL,1950s,48,4,4,8.333333333333332
GDL,1960s,90,7,7,7.777777777777778
GDL,1970s,78,5,5,6.41025641025641
GDL,1980s,136,35,27,19.852941176470587
GDL,1990s,208,83,55,26.442307692307693
